nv;Datetime;bysprint_P;bysprint_Q;bysprint_Ep;bysprint_Eq
0;2024-01-01 00:15:00;0;-0.014148085;0;0
1;2024-01-01 00:30:00;0;-0.014109072;3.00099E-06;-0.003532145
2;2024-01-01 00:45:00;0;-0.013630706;1.34657E-05;-0.003467472
3;2024-01-01 01:00:00;0;-0.014337215;3.35869E-05;-0.00349599
4;2024-01-01 01:15:00;0;-0.014252849;6.55571E-05;-0.003573758
5;2024-01-01 01:30:00;0;-0.014211534;0;-0.003558048
6;2024-01-01 01:45:00;0;-0.014443787;0;-0.003581915
7;2024-01-01 02:00:00;0;-0.013990099;0;-0.003554236
8;2024-01-01 02:15:00;0;-0.014029003;0;-0.003502388
9;2024-01-01 02:30:00;0;-0.013864922;0;-0.003486741
10;2024-01-01 02:45:00;0;-0.014449688;0;-0.003539326
11;2024-01-01 03:00:00;0;-0.014263953;0;-0.003589205
12;2024-01-01 03:15:00;0;-0.014313876;0;-0.003572229
13;2024-01-01 03:30:00;0;-0.01396191;0;-0.003534473
14;2024-01-01 03:45:00;0;-0.014661491;0;-0.003577925
15;2024-01-01 04:00:00;0;-0.014566981;0;-0.003653559
16;2024-01-01 04:15:00;0;-0.013775905;0;-0.003542861
17;2024-01-01 04:30:00;0;-0.014018576;0;-0.00347431
18;2024-01-01 04:45:00;0;-0.014036949;0;-0.003506941
19;2024-01-01 05:00:00;0;-0.014104573;0;-0.00351769
20;2024-01-01 05:15:00;0;-0.013961333;0;-0.003508238
21;2024-01-01 05:30:00;0;-0.013785599;0;-0.003468367
22;2024-01-01 05:45:00;0;-0.014367326;0;-0.003519116
23;2024-01-01 06:00:00;0;-0.014629752;0;-0.003624635
24;2024-01-01 06:15:00;0;-0.01436462;0;-0.003624297
25;2024-01-01 06:30:00;0;-0.013630575;0;-0.003499399
26;2024-01-01 06:45:00;0;-0.014229672;0;-0.003482531
27;2024-01-01 07:00:00;0;-0.013683241;0;-0.003489114
28;2024-01-01 07:15:00;0;-0.013487868;0;-0.003396389
29;2024-01-01 07:30:00;0;-0.014311108;0;-0.003474872
30;2024-01-01 07:45:00;0;-0.014196343;0;-0.003563431
31;2024-01-01 08:00:00;0;-0.014516196;0;-0.003589067
32;2024-01-01 08:15:00;0;-0.014255908;0;-0.003596513
33;2024-01-01 08:30:00;0;-0.014545686;0;-0.003600199
34;2024-01-01 08:45:00;0;-0.014761891;0;-0.003663447
35;2024-01-01 09:00:00;0;-0.014382545;0;-0.003643055
36;2024-01-01 09:15:00;0;-0.014292922;0;-0.003584433
37;2024-01-01 09:30:00;0;-0.01413007;0;-0.003552874
38;2024-01-01 09:45:00;0;-0.009417066;0;-0.002943392
39;2024-01-01 10:00:00;0;-0.013881238;0;-0.002912288
40;2024-01-01 10:15:00;0;-0.01447269;0;-0.003544241
41;2024-01-01 10:30:00;0;-0.014185668;0;-0.003582295
42;2024-01-01 10:45:00;0;-0.014297783;0;-0.003560431
43;2024-01-01 11:00:00;0;-0.01477926;0;-0.00363463
44;2024-01-01 11:15:00;0;-0.0137337;0;-0.00356412
45;2024-01-01 11:30:00;0;-0.014391479;0;-0.003515647
46;2024-01-01 11:45:00;0;-0.01415909;0;-0.003568821
47;2024-01-01 12:00:00;0;-0.01461935;0;-0.003597305
48;2024-01-01 12:15:00;0;-0.014297524;0;-0.003614609
49;2024-01-01 12:30:00;0;-0.014100088;0;-0.003549701
50;2024-01-01 12:45:00;0;-0.014183308;0;-0.003535424
51;2024-01-01 13:00:00;0;-0.013940084;0;-0.003515424
52;2024-01-01 13:15:00;0;-0.014745391;0;-0.003585684
53;2024-01-01 13:30:00;0;-0.013771002;0;-0.003564549
54;2024-01-01 13:45:00;0;-0.013495241;0;-0.00340828
