nv;Datetime;bystar2_P;bystar2_Q;bystar2_Ep;bystar2_Eq
0;2024-01-01 00:15:00;0;0.017931379;0;0
1;2024-01-01 00:30:00;0;0.017592506;4.93038E-06;0.004440486
2;2024-01-01 00:45:00;0;0.017441019;2.18021E-05;0.004379191
3;2024-01-01 01:00:00;0;0.017749307;5.3736E-05;0.004398791
4;2024-01-01 01:15:00;0;0.01807376;0.000103853;0.004477883
5;2024-01-01 01:30:00;0;0.017510351;0;0.004448014
6;2024-01-01 01:45:00;0;0.018607436;0;0.004514723
7;2024-01-01 02:00:00;0;0.01794275;0;0.004568773
8;2024-01-01 02:15:00;0;0.01819972;0;0.004517809
9;2024-01-01 02:30:00;0;0.01829903;0;0.004562344
10;2024-01-01 02:45:00;0;0.017157002;0;0.004432004
11;2024-01-01 03:00:00;0;0.017999029;0;0.004394504
12;2024-01-01 03:15:00;0;0.017179901;0;0.004397366
13;2024-01-01 03:30:00;0;0.017884314;0;0.004383027
14;2024-01-01 03:45:00;0;0.017253332;0;0.004392206
15;2024-01-01 04:00:00;0;0.017764694;0;0.004377253
16;2024-01-01 04:15:00;0;0.018148515;0;0.004489151
17;2024-01-01 04:30:00;0;0.018275311;0;0.004552978
18;2024-01-01 04:45:00;0;0.017722974;0;0.004499786
19;2024-01-01 05:00:00;0;0.017883512;0;0.004450811
20;2024-01-01 05:15:00;0;0.01770308;0;0.004448324
21;2024-01-01 05:30:00;0;0.017463916;0;0.004395874
22;2024-01-01 05:45:00;0;0.017632949;0;0.004387108
23;2024-01-01 06:00:00;0;0.017320583;0;0.004369192
24;2024-01-01 06:15:00;0;0.017137892;0;0.004307309
25;2024-01-01 06:30:00;0;0.017161429;0;0.004287415
26;2024-01-01 06:45:00;0;0.017083585;0;0.004280627
27;2024-01-01 07:00:00;0;0.017109199;0;0.004274098
28;2024-01-01 07:15:00;0;0.017577905;0;0.004335888
29;2024-01-01 07:30:00;0;0.017855103;0;0.004429126
30;2024-01-01 07:45:00;0;0.017490099;0;0.00441815
31;2024-01-01 08:00:00;0;0.018072572;0;0.004445334
32;2024-01-01 08:15:00;0;0.017833465;0;0.004488255
33;2024-01-01 08:30:00;0;0.017249375;0;0.004385355
34;2024-01-01 08:45:00;0;0.017990291;0;0.004404958
35;2024-01-01 09:00:00;0;0.016131478;0;0.004265221
36;2024-01-01 09:15:00;0;0.018414821;0;0.004318287
37;2024-01-01 09:30:00;0;0.017645524;0;0.004507543
38;2024-01-01 09:45:00;0;0.017323164;0;0.004371086
39;2024-01-01 10:00:00;0;0.017368395;0;0.004336445
40;2024-01-01 10:15:00;0;0.01823035;0;0.004449843
41;2024-01-01 10:30:00;0;0.018068416;0;0.004537346
42;2024-01-01 10:45:00;0;0.016540556;0;0.004326122
43;2024-01-01 11:00:00;0;0.017458981;0;0.004249942
44;2024-01-01 11:15:00;0;0.01728031;0;0.004342411
45;2024-01-01 11:30:00;0;0.017141279;0;0.004302699
46;2024-01-01 11:45:00;0;0.017344634;0;0.004310739
47;2024-01-01 12:00:00;0;0.017661923;0;0.00437582
48;2024-01-01 12:15:00;0;0.017846885;0;0.004438601
49;2024-01-01 12:30:00;0;0.017157911;0;0.004375599
50;2024-01-01 12:45:00;0;0.017527228;0;0.004335642
51;2024-01-01 13:00:00;0;0.016990891;0;0.004314765
52;2024-01-01 13:15:00;0;0.017528798;0;0.004314961
53;2024-01-01 13:30:00;0;0.01793915;0;0.004433494
54;2024-01-01 13:45:00;0;0.017096755;0;0.004379488
55;2024-01-01 14:00:00;0;0.017323772;0;0.004302566
56;2024-01-01 14:15:00;0;0.017199257;0;0.004315379
57;2024-01-01 14:30:00;0;0.017210526;0;0.004301223
58;2024-01-01 14:45:00;0;0.017686741;0;0.004362158
59;2024-01-01 15:00:00;0;0.017351382;0;0.004379765
60;2024-01-01 15:15:00;0;0.01765094;0;0.00437529
61;2024-01-01 15:30:00;0;0.017795312;0;0.004430782
62;2024-01-01 15:45:00;0;0.017452661;0;0.004405997
63;2024-01-01 16:00:00;0;0.017711015;0;0.00439546
64;2024-01-01 16:15:00;0;0.017964974;0;0.004459499
65;2024-01-01 16:30:00;0;0.017486361;0;0.004431417
66;2024-01-01 16:45:00;0;0.017476738;0;0.004370387
67;2024-01-01 17:00:00;0;0.018058993;0;0.004441966
68;2024-01-01 17:15:00;0;0.017194894;0;0.004406736
69;2024-01-01 17:30:00;0;0.017570317;0;0.004345651
70;2024-01-01 17:45:00;0;0.017386031;0;0.004369544
71;2024-01-01 18:00:00;0;0.017512829;0;0.004362357
72;2024-01-01 18:15:00;0;0.0171358;0;0.004331079
73;2024-01-01 18:30:00;0;0.017253789;0;0.004298699
74;2024-01-01 18:45:00;0;0.017126336;0;0.004297516
75;2024-01-01 19:00:00;0;0.017887233;0;0.004376696
76;2024-01-01 19:15:00;0;0.017247324;0;0.00439182
77;2024-01-01 19:30:00;0;0.017287546;0;0.004316859
78;2024-01-01 19:45:00;0;0.017513148;0;0.004350087
79;2024-01-01 20:00:00;0;0.016717721;0;0.004278859
80;2024-01-01 20:15:00;0;0.017391399;0;0.00426364
81;2024-01-01 20:30:00;0;0.017712355;0;0.004387969
82;2024-01-01 20:45:00;0;0.018041671;0;0.004469253
83;2024-01-01 21:00:00;0;0.017670146;0;0.004463977
84;2024-01-01 21:15:00;0;0.017554143;0;0.004403036
85;2024-01-01 21:30:00;0;0.017581558;0;0.004391963
86;2024-01-01 21:45:00;0;0.017450899;0;0.004379057
87;2024-01-01 22:00:00;0;0.018033203;0;0.004435513
88;2024-01-01 22:15:00;0;0.016986156;0;0.00437742
89;2024-01-01 22:30:00;0;0.018205136;0;0.004398912
90;2024-01-01 22:45:00;0;0.017880672;0;0.004510726
91;2024-01-01 23:00:00;0;0.017941049;0;0.004477715
92;2024-01-01 23:15:00;0;0.015899562;0;0.004230076
93;2024-01-01 23:30:00;0;0.017372604;0;0.004159021
94;2024-01-01 23:45:00;0;0.017960723;0;0.004416666
95;2024-01-02 00:00:00;0;0.017480247;0;0.004430121
96;2024-01-02 00:15:00;0;0.017489493;0;0.004371217
97;2024-01-02 00:30:00;0;0.018231516;0;0.004465126
98;2024-01-02 00:45:00;0;0.017928694;0;0.004520026
99;2024-01-02 01:00:00;0;0.017640684;0;0.004446172
100;2024-01-02 01:15:00;0;0.017920734;0;0.004445177
101;2024-01-02 01:30:00;0;0.018005039;0;0.004490722
102;2024-01-02 01:45:00;0;0.017410278;0;0.004426915
103;2024-01-02 02:00:00;0;0.01778454;0;0.004399352
104;2024-01-02 02:15:00;0;0.017690708;0;0.004434406
105;2024-01-02 02:30:00;0;0.0177262;0;0.004427113
106;2024-01-02 02:45:00;0;0.017729773;0;0.004431997
107;2024-01-02 03:00:00;0;0.018297426;0;0.0045034
108;2024-01-02 03:15:00;0;0.017594372;0;0.004486475
109;2024-01-02 03:30:00;0;0.018111902;0;0.004463284
110;2024-01-02 03:45:00;0;0.01771542;0;0.004478415
111;2024-01-02 04:00:00;0;0.017522962;0;0.004404798
112;2024-01-02 04:15:00;0;0.01742372;0;0.004368335
113;2024-01-02 04:30:00;0;0.017894495;0;0.004414777
114;2024-01-02 04:45:00;0;0.017645917;0;0.004442552
115;2024-01-02 05:00:00;0;0.017522773;0;0.004396086
116;2024-01-02 05:15:00;0;0.017559033;0;0.004385226
117;2024-01-02 05:30:00;0;0.017582611;0;0.004392706
118;2024-01-02 05:45:00;0;0.015755054;0;0.004167208
119;2024-01-02 06:00:00;0;0.017364583;0;0.004139955
120;2024-01-02 06:15:00;0.295707595;-1.195358439;0;-0.002108413
121;2024-01-02 06:30:00;7.592611076;-3.081624215;0.986039834;-0.534622832
122;2024-01-02 06:45:00;9.492922612;-4.592283282;2.135691711;-0.959238437
123;2024-01-02 07:00:00;7.84016566;-4.124721731;2.166636034;-1.089625627
124;2024-01-02 07:15:00;3.640411846;-1.551297499;1.435072188;-0.709502404
125;2024-01-02 07:30:00;2.626177778;-1.969941722;0.783323703;-0.440154903
126;2024-01-02 07:45:00;6.414395776;-1.817571187;1.130071694;-0.473439114
127;2024-01-02 08:00:00;6.140693292;-2.568472782;1.569386134;-0.548255496
128;2024-01-02 08:15:00;5.750658692;-2.014049476;1.486418998;-0.572815282
129;2024-01-02 08:30:00;6.283474021;-2.188782287;1.504266589;-0.52535397
130;2024-01-02 08:45:00;6.094338687;-1.886144193;1.547226589;-0.50936581
131;2024-01-02 09:00:00;4.999770556;-2.662816469;1.386763655;-0.568620083
132;2024-01-02 09:15:00;6.155385778;-2.684060682;1.394394542;-0.668359644
133;2024-01-02 09:30:00;5.761663049;-2.338355141;1.489631103;-0.627801978
134;2024-01-02 09:45:00;6.579395597;-2.827379715;1.542632331;-0.645716857
135;2024-01-02 10:00:00;4.797461924;-2.74651407;1.42210719;-0.696736723
136;2024-01-02 10:15:00;4.217429146;-3.041382163;1.126861384;-0.723487029
137;2024-01-02 10:30:00;0.67805269;-1.79738311;0.61193523;-0.604845659
138;2024-01-02 10:45:00;0.671222383;-1.781097783;0.168659384;-0.447310112
139;2024-01-02 11:00:00;2.641320691;-2.225714587;0.414067884;-0.500851546
140;2024-01-02 11:15:00;6.875948793;-2.698510657;1.189658686;-0.615528155
141;2024-01-02 11:30:00;3.549176496;-2.708372428;1.303140661;-0.675860386
142;2024-01-02 11:45:00;4.426949478;-1.507542601;0.997015747;-0.526989379
143;2024-01-02 12:00:00;5.766992311;-2.43897036;1.274242724;-0.49331412
144;2024-01-02 12:15:00;5.713068006;-2.11851352;1.43500754;-0.569685485
145;2024-01-02 12:30:00;6.665161751;-2.320568147;1.54727872;-0.554885208
