nv;Datetime;MS_P;MS_Q;MS_Ep;MS_Eq
0;2024-01-01 00:15:00;18.64243194;0;0;0
1;2024-01-01 00:30:00;16.49052871;0;4.391620082;0
2;2024-01-01 00:45:00;18.36301835;0;4.356693383;0
3;2024-01-01 01:00:00;17.87546741;0;4.529810721;0
4;2024-01-01 01:15:00;17.85956387;0;4.466878911;0
5;2024-01-01 01:30:00;17.89743389;0;4.46962472;0
6;2024-01-01 01:45:00;16.78043151;0;4.334733175;0
7;2024-01-01 02:00:00;20.0310943;0;4.601440727;0
8;2024-01-01 02:15:00;18.48525694;0;4.814543906;0
9;2024-01-01 02:30:00;17.56114983;0;4.505800847;0
10;2024-01-01 02:45:00;16.18088473;0;4.21775432;0
11;2024-01-01 03:00:00;16.73632834;0;4.114651633;0
12;2024-01-01 03:15:00;15.78361675;0;4.064993136;0
13;2024-01-01 03:30:00;16.47877287;0;4.032798703;0
14;2024-01-01 03:45:00;20.82064839;0;4.662427658;0
15;2024-01-01 04:00:00;28.25672006;0;6.134671056;0
16;2024-01-01 04:15:00;30.4114879;0;7.333525995;0
17;2024-01-01 04:30:00;22.97734905;0;6.673604619;0
18;2024-01-01 04:45:00;15.94128272;0;4.864828972;0
19;2024-01-01 05:00:00;14.78085002;0;3.840266593;0
20;2024-01-01 05:15:00;15.40609844;0;3.773368558;0
21;2024-01-01 05:30:00;16.46989092;0;3.98449867;0
22;2024-01-01 05:45:00;20.54971609;0;4.627450877;0
23;2024-01-01 06:00:00;21.5453441;0;5.261882524;0
24;2024-01-01 06:15:00;24.98698009;0;5.816540524;0
25;2024-01-01 06:30:00;22.593985;0;5.947620636;0
26;2024-01-01 06:45:00;25.14547085;0;5.967431981;0
27;2024-01-01 07:00:00;26.59439115;0;6.467482749;0
28;2024-01-01 07:15:00;27.64337581;0;6.77972087;0
29;2024-01-01 07:30:00;23.63665652;0;6.410004041;0
30;2024-01-01 07:45:00;27.53862731;0;6.396910478;0
31;2024-01-01 08:00:00;24.95405201;0;6.561584914;0
32;2024-01-01 08:15:00;25.2446989;0;6.27446001;0
33;2024-01-01 08:30:00;22.71451276;0;5.994901456;0
34;2024-01-01 08:45:00;25.35181222;0;6.008290622;0
35;2024-01-01 09:00:00;27.89963944;0;6.656431457;0
36;2024-01-01 09:15:00;30.23955631;0;7.267399468;0
37;2024-01-01 09:30:00;26.74549182;0;7.123131016;0
38;2024-01-01 09:45:00;45.84861932;0;9.074263892;0
39;2024-01-01 10:00:00;42.44118962;0;11.03622612;0
40;2024-01-01 10:15:00;32.92422609;0;9.420676964;0
41;2024-01-01 10:30:00;25.04451571;0;7.246092725;0
42;2024-01-01 10:45:00;29.28388481;0;6.791050065;0
43;2024-01-01 11:00:00;29.14566758;0;7.303694048;0
44;2024-01-01 11:15:00;28.85819203;0;7.250482451;0
45;2024-01-01 11:30:00;21.91630758;0;6.34681245;0
46;2024-01-01 11:45:00;21.82876448;0;5.468134007;0
47;2024-01-01 12:00:00;21.69030489;0;5.439883672;0
48;2024-01-01 12:15:00;24.63409358;0;5.790549808;0
49;2024-01-01 12:30:00;28.65140661;0;6.660687524;0
50;2024-01-01 12:45:00;26.0558923;0;6.838412364;0
51;2024-01-01 13:00:00;25.17250592;0;6.403549778;0
52;2024-01-01 13:15:00;22.39623004;0;5.946091996;0
53;2024-01-01 13:30:00;21.03759905;0;5.429228636;0
54;2024-01-01 13:45:00;21.53619547;0;5.321724315;0
55;2024-01-01 14:00:00;23.37662532;0;5.614102599;0
56;2024-01-01 14:15:00;28.71182582;0;6.511056392;0
57;2024-01-01 14:30:00;30.253876;0;7.370712727;0
58;2024-01-01 14:45:00;27.47419941;0;7.216009426;0
59;2024-01-01 15:00:00;20.05400447;0;5.941025485;0
60;2024-01-01 15:15:00;18.60663598;0;4.821322068;0
61;2024-01-01 15:30:00;19.94979988;0;4.819554482;0
62;2024-01-01 15:45:00;22.98252731;0;5.366540899;0
63;2024-01-01 16:00:00;39.68385904;0;7.833298294;0
64;2024-01-01 16:15:00;33.42377428;0;9.138454165;0
65;2024-01-01 16:30:00;25.34515181;0;7.346115761;0
66;2024-01-01 16:45:00;18.34668464;0;5.461479556;0
67;2024-01-01 17:00:00;17.20108393;0;4.443471071;0
68;2024-01-01 17:15:00;20.13724686;0;4.667291349;0
