;Datetime;pv_P;pv_Q
0;2024-01-01 00:15:00;0.057734925;0
1;2024-01-01 00:30:00;0.057726223;0
2;2024-01-01 00:45:00;0.057259535;0
3;2024-01-01 01:00:00;0.057608609;0
4;2024-01-01 01:15:00;0.057353862;0
5;2024-01-01 01:30:00;0.057236052;0
6;2024-01-01 01:45:00;0.057403097;0
7;2024-01-01 02:00:00;0.057191376;0
8;2024-01-01 02:15:00;0.057462338;0
9;2024-01-01 02:30:00;0.057420952;0
10;2024-01-01 02:45:00;0.057298185;0
11;2024-01-01 03:00:00;0.05732185;0
12;2024-01-01 03:15:00;0.057183776;0
13;2024-01-01 03:30:00;0.057064074;0
14;2024-01-01 03:45:00;0.057129852;0
15;2024-01-01 04:00:00;0.05678383;0
16;2024-01-01 04:15:00;0.056841038;0
17;2024-01-01 04:30:00;0.056834238;0
18;2024-01-01 04:45:00;0.056923355;0
19;2024-01-01 05:00:00;0.056635382;0
20;2024-01-01 05:15:00;0.056575894;0
21;2024-01-01 05:30:00;0.056484601;0
22;2024-01-01 05:45:00;0.056349775;0
23;2024-01-01 06:00:00;0.056066796;0
24;2024-01-01 06:15:00;0.05589471;0
25;2024-01-01 06:30:00;0.05580092;0
26;2024-01-01 06:45:00;0.056083348;0
27;2024-01-01 07:00:00;0.05617866;0
28;2024-01-01 07:15:00;0.055968356;0
29;2024-01-01 07:30:00;0.056309263;0
30;2024-01-01 07:45:00;0.056556249;0
31;2024-01-01 08:00:00;0.056594978;0
32;2024-01-01 08:15:00;-0.003070822;0
33;2024-01-01 08:30:00;-0.540543578;0
34;2024-01-01 08:45:00;-1.695716366;0
35;2024-01-01 09:00:00;-3.722505907;0
36;2024-01-01 09:15:00;-5.207453583;0
37;2024-01-01 09:30:00;-6.797419821;0
38;2024-01-01 09:45:00;-8.380311848;0
39;2024-01-01 10:00:00;-7.968332189;0
40;2024-01-01 10:15:00;-6.834932205;0
41;2024-01-01 10:30:00;-5.925877228;0
42;2024-01-01 10:45:00;-5.586311501;0
43;2024-01-01 11:00:00;-5.684847708;0
44;2024-01-01 11:15:00;-4.763954982;0
45;2024-01-01 11:30:00;-4.41659794;0
46;2024-01-01 11:45:00;-4.262462185;0
47;2024-01-01 12:00:00;-3.842481099;0
48;2024-01-01 12:15:00;-3.775227579;0
49;2024-01-01 12:30:00;-4.027488828;0
50;2024-01-01 12:45:00;-3.789505859;0
51;2024-01-01 13:00:00;-4.100700636;0
52;2024-01-01 13:15:00;-3.252971191;0
53;2024-01-01 13:30:00;-2.851158608;0
54;2024-01-01 13:45:00;-2.273310897;0
55;2024-01-01 14:00:00;-1.655411351;0
56;2024-01-01 14:15:00;-1.417268563;0
57;2024-01-01 14:30:00;-1.205584516;0
58;2024-01-01 14:45:00;-0.80923905;0
59;2024-01-01 15:00:00;-0.186440427;0
60;2024-01-01 15:15:00;0.059372513;0
61;2024-01-01 15:30:00;0.057059017;0
62;2024-01-01 15:45:00;0.057078718;0
63;2024-01-01 16:00:00;0.056562406;0
64;2024-01-01 16:15:00;0.056634689;0
65;2024-01-01 16:30:00;0.056652399;0
66;2024-01-01 16:45:00;0.056770908;0
67;2024-01-01 17:00:00;0.056665224;0
68;2024-01-01 17:15:00;0.056628281;0
69;2024-01-01 17:30:00;0.056744013;0
70;2024-01-01 17:45:00;0.056833388;0
71;2024-01-01 18:00:00;0.057052079;0
72;2024-01-01 18:15:00;0.056805752;0
73;2024-01-01 18:30:00;0.056808983;0
74;2024-01-01 18:45:00;0.0570367;0
75;2024-01-01 19:00:00;0.057017567;0
76;2024-01-01 19:15:00;0.057073477;0
77;2024-01-01 19:30:00;0.057184983;0
78;2024-01-01 19:45:00;0.057306813;0
79;2024-01-01 20:00:00;0.057539959;0
80;2024-01-01 20:15:00;0.057604595;0
81;2024-01-01 20:30:00;0.058170125;0
82;2024-01-01 20:45:00;0.058138329;0
83;2024-01-01 21:00:00;0.058315176;0
84;2024-01-01 21:15:00;0.05734324;0
85;2024-01-01 21:30:00;0.05719761;0
86;2024-01-01 21:45:00;0.057145453;0
87;2024-01-01 22:00:00;0.057079462;0
88;2024-01-01 22:15:00;0.057142032;0
89;2024-01-01 22:30:00;0.057275025;0
90;2024-01-01 22:45:00;0.057124513;0
91;2024-01-01 23:00:00;0.057024196;0
92;2024-01-01 23:15:00;0.056998959;0
93;2024-01-01 23:30:00;0.057194489;0
94;2024-01-01 23:45:00;0.057221933;0
95;2024-01-02 00:00:00;0.057037977;0
96;2024-01-02 00:15:00;0.057006843;0
97;2024-01-02 00:30:00;0.057608801;0
98;2024-01-02 00:45:00;0.05736451;0
99;2024-01-02 01:00:00;0.057454306;0
100;2024-01-02 01:15:00;0.05770363;0
101;2024-01-02 01:30:00;0.057336176;0
102;2024-01-02 01:45:00;0.057366618;0
103;2024-01-02 02:00:00;0.057633684;0
104;2024-01-02 02:15:00;0.05759163;0
105;2024-01-02 02:30:00;0.057401461;0
106;2024-01-02 02:45:00;0.057628862;0
107;2024-01-02 03:00:00;0.057553673;0
108;2024-01-02 03:15:00;0.057169921;0
109;2024-01-02 03:30:00;0.057418436;0
110;2024-01-02 03:45:00;0.057577001;0
111;2024-01-02 04:00:00;0.057071441;0
112;2024-01-02 04:15:00;0.057235914;0
113;2024-01-02 04:30:00;0.057335696;0
114;2024-01-02 04:45:00;0.057277603;0
115;2024-01-02 05:00:00;0.056954531;0
116;2024-01-02 05:15:00;0.057136423;0
117;2024-01-02 05:30:00;0.056993329;0
118;2024-01-02 05:45:00;0.056471416;0
119;2024-01-02 06:00:00;0.056578743;0
120;2024-01-02 06:15:00;0.056453653;0
121;2024-01-02 06:30:00;0.057980265;0
122;2024-01-02 06:45:00;0.059656665;0
123;2024-01-02 07:00:00;0.060201718;0
124;2024-01-02 07:15:00;0.058813982;0
125;2024-01-02 07:30:00;0.05825717;0
126;2024-01-02 07:45:00;0.059357272;0
127;2024-01-02 08:00:00;0.058864027;0
128;2024-01-02 08:15:00;0.058346158;0
129;2024-01-02 08:30:00;0.059436707;0
130;2024-01-02 08:45:00;0.057662893;0
131;2024-01-02 09:00:00;0.057227177;0
132;2024-01-02 09:15:00;0.060688502;0
133;2024-01-02 09:30:00;0.062472228;0
134;2024-01-02 09:45:00;0.060818551;0
135;2024-01-02 10:00:00;0.064508905;0
136;2024-01-02 10:15:00;0.064396372;0
137;2024-01-02 10:30:00;0.061225104;0
138;2024-01-02 10:45:00;0.056314971;0
139;2024-01-02 11:00:00;0.065965779;0
140;2024-01-02 11:15:00;0.062776656;0
141;2024-01-02 11:30:00;0.064816737;0
142;2024-01-02 11:45:00;0.065089756;0
143;2024-01-02 12:00:00;0.064857374;0
144;2024-01-02 12:15:00;0.053738076;0
145;2024-01-02 12:30:00;0.066497796;0
146;2024-01-02 12:45:00;0.058745022;0
147;2024-01-02 13:00:00;0.060853134;0
148;2024-01-02 13:15:00;0.058118187;0
149;2024-01-02 13:30:00;0.059326725;0
150;2024-01-02 13:45:00;0.058849775;0
151;2024-01-02 14:00:00;0.059065404;0
152;2024-01-02 14:15:00;0.05861442;0
153;2024-01-02 14:30:00;0.059716612;0
154;2024-01-02 14:45:00;0.059681365;0
155;2024-01-02 15:00:00;0.059990766;0
156;2024-01-02 15:15:00;0.059869905;0
157;2024-01-02 15:30:00;0.05828867;0
158;2024-01-02 15:45:00;0.059443617;0
159;2024-01-02 16:00:00;0.060567941;0
160;2024-01-02 16:15:00;0.061117643;0
161;2024-01-02 16:30:00;0.060850714;0
162;2024-01-02 16:45:00;0.060095724;0
163;2024-01-02 17:00:00;0.060936898;0
164;2024-01-02 17:15:00;0.06010778;0
165;2024-01-02 17:30:00;0.061172575;0
166;2024-01-02 17:45:00;0.060774374;0
167;2024-01-02 18:00:00;0.059978321;0
168;2024-01-02 18:15:00;0.061149726;0
169;2024-01-02 18:30:00;0.059832472;0
170;2024-01-02 18:45:00;0.060611093;0
171;2024-01-02 19:00:00;0.059735021;0
172;2024-01-02 19:15:00;0.060260333;0
173;2024-01-02 19:30:00;0.136037178;0
174;2024-01-02 19:45:00;0.129086843;0
175;2024-01-02 20:00:00;0.12477869;0
176;2024-01-02 20:15:00;0.125642922;0
177;2024-01-02 20:30:00;0.072516705;0
178;2024-01-02 20:45:00;0.060260307;0
179;2024-01-02 21:00:00;0.061067507;0
180;2024-01-02 21:15:00;0.061319179;0
181;2024-01-02 21:30:00;0.061089789;0
182;2024-01-02 21:45:00;0.059253422;0
183;2024-01-02 22:00:00;0.061266191;0
184;2024-01-02 22:15:00;0.061203403;0
185;2024-01-02 22:30:00;0.06009762;0
186;2024-01-02 22:45:00;0.060628736;0
187;2024-01-02 23:00:00;0.059628066;0
188;2024-01-02 23:15:00;0.125080377;0
189;2024-01-02 23:30:00;0.128063743;0
190;2024-01-02 23:45:00;0.126377171;0
191;2024-01-03 00:00:00;0.124610289;0
192;2024-01-03 00:15:00;0.120013247;0
193;2024-01-03 00:30:00;0.060594297;0
194;2024-01-03 00:45:00;0.061206367;0
195;2024-01-03 01:00:00;0.061892448;0
196;2024-01-03 01:15:00;0.061807569;0
197;2024-01-03 01:30:00;0.062453188;0
198;2024-01-03 01:45:00;0.061524793;0
199;2024-01-03 02:00:00;0.058265794;0
200;2024-01-03 02:15:00;0.058994303;0
201;2024-01-03 02:30:00;0.115744459;0
202;2024-01-03 02:45:00;0.129678562;0
203;2024-01-03 03:00:00;0.125148604;0
204;2024-01-03 03:15:00;0.123726084;0
205;2024-01-03 03:30:00;0.124106015;0
206;2024-01-03 03:45:00;0.090611862;0
207;2024-01-03 04:00:00;0.059350411;0
208;2024-01-03 04:15:00;0.06001133;0
209;2024-01-03 04:30:00;0.060448137;0
210;2024-01-03 04:45:00;0.059043181;0
211;2024-01-03 05:00:00;0.060125498;0
212;2024-01-03 05:15:00;0.059401774;0
213;2024-01-03 05:30:00;0.088002099;0
214;2024-01-03 05:45:00;0.133029929;0
215;2024-01-03 06:00:00;0.125581052;0
216;2024-01-03 06:15:00;0.123591873;0
217;2024-01-03 06:30:00;0.121661271;0
218;2024-01-03 06:45:00;0.122602453;0
219;2024-01-03 07:00:00;0.101935248;0
220;2024-01-03 07:15:00;0.05581243;0
221;2024-01-03 07:30:00;0.056584431;0
222;2024-01-03 07:45:00;0.056802522;0
223;2024-01-03 08:00:00;0.05613556;0
224;2024-01-03 08:15:00;0.055864812;0
225;2024-01-03 08:30:00;0.056480353;0
226;2024-01-03 08:45:00;0.11624423;0
227;2024-01-03 09:00:00;0.126543401;0
