nv;Datetime;sg2_P;sg2_Q;sg2_Ep;sg2_Eq
0;2024-01-01 00:15:00;2.925304229;0;0;0
1;2024-01-01 00:30:00;2.722465456;0;0.705971211;0
2;2024-01-01 00:45:00;2.780943976;0;0.687926179;0
3;2024-01-01 01:00:00;3.636071442;0;0.802126927;0
4;2024-01-01 01:15:00;3.011007812;0;0.830884907;0
5;2024-01-01 01:30:00;3.637290008;0;0.831037228;0
6;2024-01-01 01:45:00;3.362141365;0;0.874928922;0
7;2024-01-01 02:00:00;3.60551001;0;0.870956422;0
8;2024-01-01 02:15:00;3.622701201;0;0.903526401;0
9;2024-01-01 02:30:00;3.684293815;0;0.913374377;0
10;2024-01-01 02:45:00;2.561308565;0;0.780700297;0
11;2024-01-01 03:00:00;3.811321857;0;0.796578803;0
12;2024-01-01 03:15:00;1.640008334;0;0.681416274;0
13;2024-01-01 03:30:00;2.79463837;0;0.554330838;0
14;2024-01-01 03:45:00;8.151110059;0;1.368218554;0
15;2024-01-01 04:00:00;14.69487721;0;2.855748408;0
16;2024-01-01 04:15:00;17.39522367;0;4.01126261;0
17;2024-01-01 04:30:00;8.799193652;0;3.274302165;0
18;2024-01-01 04:45:00;1.574811073;0;1.296750591;0
19;2024-01-01 05:00:00;2.234297797;0;0.476138609;0
20;2024-01-01 05:15:00;2.830075353;0;0.633046644;0
21;2024-01-01 05:30:00;2.790318987;0;0.702549292;0
22;2024-01-01 05:45:00;4.144472138;0;0.866848891;0
23;2024-01-01 06:00:00;1.870701717;0;0.751896732;0
24;2024-01-01 06:15:00;7.464146964;0;1.166856085;0
25;2024-01-01 06:30:00;5.152925407;0;1.577134046;0
26;2024-01-01 06:45:00;7.730016566;0;1.610367747;0
27;2024-01-01 07:00:00;8.149115893;0;1.984891557;0
28;2024-01-01 07:15:00;9.186196358;0;2.166914031;0
29;2024-01-01 07:30:00;6.437172509;0;1.952921108;0
30;2024-01-01 07:45:00;9.699519934;0;2.017086555;0
31;2024-01-01 08:00:00;9.640401314;0;2.417490156;0
32;2024-01-01 08:15:00;9.963813072;0;2.450526798;0
33;2024-01-01 08:30:00;6.681574906;0;2.080673497;0
34;2024-01-01 08:45:00;8.616449921;0;1.912253103;0
35;2024-01-01 09:00:00;10.22549442;0;2.355243043;0
36;2024-01-01 09:15:00;9.671816323;0;2.487163844;0
37;2024-01-01 09:30:00;5.773281092;0;1.930637177;0
38;2024-01-01 09:45:00;21.86688166;0;3.455020344;0
39;2024-01-01 10:00:00;16.51068647;0;4.797196016;0
40;2024-01-01 10:15:00;11.2699234;0;3.472576234;0
41;2024-01-01 10:30:00;3.136133396;0;1.8007571;0
42;2024-01-01 10:45:00;7.702957478;0;1.354886359;0
43;2024-01-01 11:00:00;7.384033025;0;1.885873813;0
44;2024-01-01 11:15:00;7.492633574;0;1.859583325;0
45;2024-01-01 11:30:00;3.570016737;0;1.382831289;0
46;2024-01-01 11:45:00;2.720150211;0;0.786270868;0
47;2024-01-01 12:00:00;3.270884351;0;0.74887932;0
48;2024-01-01 12:15:00;6.185873001;0;1.182094669;0
49;2024-01-01 12:30:00;8.475299676;0;1.832646585;0
50;2024-01-01 12:45:00;7.831416083;0;2.03833947;0
51;2024-01-01 13:00:00;5.515668829;0;1.668385614;0
52;2024-01-01 13:15:00;4.450216187;0;1.245735627;0
53;2024-01-01 13:30:00;2.966776395;0;0.927124073;0
54;2024-01-01 13:45:00;2.959341393;0;0.740764724;0
55;2024-01-01 14:00:00;6.60664662;0;1.195748502;0
56;2024-01-01 14:15:00;10.70207094;0;2.163589695;0
57;2024-01-01 14:30:00;14.48005177;0;3.147765339;0
58;2024-01-01 14:45:00;9.609909883;0;3.011245207;0
59;2024-01-01 15:00:00;4.051792666;0;1.707712819;0
60;2024-01-01 15:15:00;3.648380648;0;0.962521664;0
61;2024-01-01 15:30:00;3.334098254;0;0.872809863;0
62;2024-01-01 15:45:00;8.236199979;0;1.446287279;0
63;2024-01-01 16:00:00;22.63990464;0;3.859513077;0
64;2024-01-01 16:15:00;18.34808753;0;5.123499021;0
65;2024-01-01 16:30:00;10.34009994;0;3.586023434;0
66;2024-01-01 16:45:00;1.810135517;0;1.518779432;0
67;2024-01-01 17:00:00;1.983396588;0;0.474191513;0
68;2024-01-01 17:15:00;2.790675576;0;0.596759021;0
69;2024-01-01 17:30:00;2.801626075;0;0.699037706;0
70;2024-01-01 17:45:00;2.963329276;0;0.720619419;0
71;2024-01-01 18:00:00;3.416524352;0;0.797481703;0
72;2024-01-01 18:15:00;2.723740988;0;0.767533167;0
73;2024-01-01 18:30:00;3.447591677;0;0.771416583;0
74;2024-01-01 18:45:00;3.467528475;0;0.864390019;0
75;2024-01-01 19:00:00;3.157480037;0;0.828126064;0
76;2024-01-01 19:15:00;2.881035442;0;0.754814435;0
77;2024-01-01 19:30:00;2.88801169;0;0.721130892;0
78;2024-01-01 19:45:00;3.814284971;0;0.837787083;0
79;2024-01-01 20:00:00;3.603550765;0;0.927229467;0
80;2024-01-01 20:15:00;3.570110715;0;0.896707685;0
81;2024-01-01 20:30:00;2.821336238;0;0.798930869;0
82;2024-01-01 20:45:00;2.951476427;0;0.721601583;0
83;2024-01-01 21:00:00;7.932451171;0;1.36049095;0
84;2024-01-01 21:15:00;17.47707195;0;3.176190391;0
85;2024-01-01 21:30:00;16.80067067;0;4.284717827;0
86;2024-01-01 21:45:00;5.068009553;0;2.733585027;0
87;2024-01-01 22:00:00;1.951030898;0;0.877380056;0
88;2024-01-01 22:15:00;2.963176428;0;0.614275916;0
89;2024-01-01 22:30:00;1.797564724;0;0.595092644;0
90;2024-01-01 22:45:00;3.725675092;0;0.690404977;0
91;2024-01-01 23:00:00;3.834943484;0;0.945077322;0
92;2024-01-01 23:15:00;0.777342269;0;0.576535719;0
93;2024-01-01 23:30:00;4.146308118;0;0.615456298;0
94;2024-01-01 23:45:00;4.500734252;0;1.080880296;0
95;2024-01-02 00:00:00;0.776106596;0;0.659605106;0
96;2024-01-02 00:15:00;4.78411743;0;0.695028003;0
97;2024-01-02 00:30:00;2.782806445;0;0.945865484;0
98;2024-01-02 00:45:00;2.965841979;0;0.718581053;0
99;2024-01-02 01:00:00;3.140445698;0;0.76328596;0
100;2024-01-02 01:15:00;3.921633107;0;0.882759851;0
101;2024-01-02 01:30:00;4.552887493;0;1.059315075;0
102;2024-01-02 01:45:00;2.340642827;0;0.86169129;0
103;2024-01-02 02:00:00;17.80147878;0;2.517765201;0
104;2024-01-02 02:15:00;15.78443815;0;4.198239617;0
105;2024-01-02 02:30:00;11.77761384;0;3.445256499;0
106;2024-01-02 02:45:00;1.884802979;0;1.707802102;0
107;2024-01-02 03:00:00;2.834057105;0;0.589857511;0
108;2024-01-02 03:15:00;2.88205465;0;0.714513969;0
109;2024-01-02 03:30:00;3.015739494;0;0.737224268;0
110;2024-01-02 03:45:00;3.467957729;0;0.810462153;0
111;2024-01-02 04:00:00;2.860360248;0;0.791039747;0
112;2024-01-02 04:15:00;3.696707855;0;0.819633513;0
113;2024-01-02 04:30:00;2.644243111;0;0.792618871;0
114;2024-01-02 04:45:00;4.293973568;0;0.867277085;0
115;2024-01-02 05:00:00;3.621048526;0;0.989377762;0
116;2024-01-02 05:15:00;2.727538983;0;0.793573439;0
117;2024-01-02 05:30:00;2.827513989;0;0.694381621;0
118;2024-01-02 05:45:00;4.425998403;0;0.906689049;0
119;2024-01-02 06:00:00;7.962208779;0;1.548525898;0
120;2024-01-02 06:15:00;20.77203784;0;3.591780827;0
121;2024-01-02 06:30:00;21.1616476;0;5.24171068;0
122;2024-01-02 06:45:00;11.18748504;0;4.043641581;0
123;2024-01-02 07:00:00;6.059788976;0;2.155909252;0
124;2024-01-02 07:15:00;7.826251913;0;1.735755111;0
125;2024-01-02 07:30:00;8.956121869;0;2.097796723;0
126;2024-01-02 07:45:00;9.53018583;0;2.310788462;0
127;2024-01-02 08:00:00;8.254131428;0;2.223039657;0
128;2024-01-02 08:15:00;11.24387151;0;2.437250367;0
129;2024-01-02 08:30:00;13.42032942;0;3.083025116;0
130;2024-01-02 08:45:00;12.48337839;0;3.237963476;0
131;2024-01-02 09:00:00;12.79554853;0;3.159865865;0
132;2024-01-02 09:15:00;14.45254866;0;3.406012149;0
133;2024-01-02 09:30:00;13.99785714;0;3.556300724;0
134;2024-01-02 09:45:00;9.349166979;0;2.918378014;0
135;2024-01-02 10:00:00;7.950252144;0;2.16242739;0
136;2024-01-02 10:15:00;10.99334314;0;2.367949411;0
137;2024-01-02 10:30:00;9.982121053;0;2.621933024;0
138;2024-01-02 10:45:00;13.75361549;0;2.966967068;0
139;2024-01-02 11:00:00;13.80024115;0;3.44423208;0
140;2024-01-02 11:15:00;13.71045212;0;3.438836659;0
141;2024-01-02 11:30:00;14.87529529;0;3.573218426;0
142;2024-01-02 11:45:00;16.9177922;0;3.974135937;0
143;2024-01-02 12:00:00;23.97708602;0;5.111859779;0
144;2024-01-02 12:15:00;22.54984682;0;5.815866606;0
145;2024-01-02 12:30:00;12.76381041;0;4.414207154;0
146;2024-01-02 12:45:00;6.844693355;0;2.451062971;0
147;2024-01-02 13:00:00;8.844525481;0;1.961152355;0
148;2024-01-02 13:15:00;12.49885093;0;2.667922051;0
149;2024-01-02 13:30:00;12.38668922;0;3.110692518;0
150;2024-01-02 13:45:00;11.67202892;0;3.007339767;0
151;2024-01-02 14:00:00;9.37566225;0;2.630961396;0
152;2024-01-02 14:15:00;9.154133933;0;2.316224523;0
153;2024-01-02 14:30:00;6.141324437;0;1.911932296;0
154;2024-01-02 14:45:00;7.15880945;0;1.662516736;0
155;2024-01-02 15:00:00;8.510735696;0;1.958693143;0
156;2024-01-02 15:15:00;8.660049394;0;2.146348136;0
157;2024-01-02 15:30:00;10.40335652;0;2.382925739;0
158;2024-01-02 15:45:00;8.096676756;0;2.31250416;0
159;2024-01-02 16:00:00;6.667905497;0;1.845572782;0
160;2024-01-02 16:15:00;6.108852749;0;1.597094781;0
161;2024-01-02 16:30:00;5.503409154;0;1.451532738;0
162;2024-01-02 16:45:00;4.775582276;0;1.284873929;0
163;2024-01-02 17:00:00;4.963711958;0;1.217411779;0
164;2024-01-02 17:15:00;3.982113079;0;1.11822813;0
165;2024-01-02 17:30:00;3.882793008;0;0.983113261;0
166;2024-01-02 17:45:00;4.633882798;0;1.064584476;0
167;2024-01-02 18:00:00;4.699940754;0;1.166727944;0
168;2024-01-02 18:15:00;4.489409014;0;1.148668721;0
169;2024-01-02 18:30:00;4.610108475;0;1.137439686;0
170;2024-01-02 18:45:00;16.11169329;0;2.59022522;0
171;2024-01-02 19:00:00;15.35383917;0;3.933191557;0
172;2024-01-02 19:15:00;13.07997027;0;3.554226179;0
173;2024-01-02 19:30:00;1.940835686;0;1.877600744;0
174;2024-01-02 19:45:00;3.017212392;0;0.61975601;0
175;2024-01-02 20:00:00;3.838881879;0;0.857011784;0
176;2024-01-02 20:15:00;3.644237637;0;0.935389939;0
177;2024-01-02 20:30:00;2.959769062;0;0.825500837;0
178;2024-01-02 20:45:00;3.004972923;0;0.745592748;0
179;2024-01-02 21:00:00;3.711526513;0;0.839562429;0
180;2024-01-02 21:15:00;3.543971086;0;0.9069372;0
181;2024-01-02 21:30:00;3.585036524;0;0.891125951;0
182;2024-01-02 21:45:00;3.751897645;0;0.917116771;0
183;2024-01-02 22:00:00;3.780551233;0;0.94155611;0
