nv;Datetime;SOC;SOC_Ep
0;2024-01-01 00:15:00;7.5;13.32
1;2024-01-01 00:30:00;7.5;13.32
2;2024-01-01 00:45:00;7.5;13.32
3;2024-01-01 01:00:00;7.5;13.32
4;2024-01-01 01:15:00;7.5;13.32
5;2024-01-01 01:30:00;7.5;13.32
6;2024-01-01 01:45:00;7.5;13.32
7;2024-01-01 02:00:00;7.5;13.32
8;2024-01-01 02:15:00;7.5;13.32
9;2024-01-01 02:30:00;7.5;13.32
10;2024-01-01 02:45:00;7.5;13.32
11;2024-01-01 03:00:00;7.5;13.32
12;2024-01-01 03:15:00;7.5;13.32
13;2024-01-01 03:30:00;7.5;13.32
14;2024-01-01 03:45:00;7.5;13.32
15;2024-01-01 04:00:00;7.5;13.32
16;2024-01-01 04:15:00;7.5;13.32
17;2024-01-01 04:30:00;7.5;13.32
18;2024-01-01 04:45:00;7.5;13.32
19;2024-01-01 05:00:00;7.5;13.32
20;2024-01-01 05:15:00;7.5;13.32
21;2024-01-01 05:30:00;7.5;13.32
22;2024-01-01 05:45:00;7.5;13.32
23;2024-01-01 06:00:00;7.5;13.32
24;2024-01-01 06:15:00;7.5;13.32
25;2024-01-01 06:30:00;7.5;13.32
26;2024-01-01 06:45:00;7.5;13.32
27;2024-01-01 07:00:00;7.5;13.32
28;2024-01-01 07:15:00;7.5;13.32
29;2024-01-01 07:30:00;7.5;13.32
30;2024-01-01 07:45:00;7.5;13.32
31;2024-01-01 08:00:00;7.5;13.32
32;2024-01-01 08:15:00;7.5;13.32
33;2024-01-01 08:30:00;7.5;13.32
34;2024-01-01 08:45:00;7.5;13.32
35;2024-01-01 09:00:00;7.5;13.32
36;2024-01-01 09:15:00;7.5;13.32
37;2024-01-01 09:30:00;7.5;13.32
38;2024-01-01 09:45:00;7.5;13.32
39;2024-01-01 10:00:00;7.5;13.32
40;2024-01-01 10:15:00;7.5;13.32
41;2024-01-01 10:30:00;7.5;13.32
42;2024-01-01 10:45:00;7.5;13.32
43;2024-01-01 11:00:00;7.5;13.32
44;2024-01-01 11:15:00;7.5;13.32
45;2024-01-01 11:30:00;7.5;13.32
46;2024-01-01 11:45:00;7.5;13.32
47;2024-01-01 12:00:00;7.5;13.32
48;2024-01-01 12:15:00;7.5;13.32
49;2024-01-01 12:30:00;7.5;13.32
50;2024-01-01 12:45:00;7.5;13.32
51;2024-01-01 13:00:00;7.5;13.32
52;2024-01-01 13:15:00;7.5;13.32
53;2024-01-01 13:30:00;7.5;13.32
54;2024-01-01 13:45:00;7.5;13.32
55;2024-01-01 14:00:00;7.5;13.32
56;2024-01-01 14:15:00;7.5;13.32
57;2024-01-01 14:30:00;7.5;13.32
58;2024-01-01 14:45:00;7.5;13.32
59;2024-01-01 15:00:00;7.5;13.32
60;2024-01-01 15:15:00;7.5;13.32
61;2024-01-01 15:30:00;7.5;13.32
62;2024-01-01 15:45:00;7.5;13.32
63;2024-01-01 16:00:00;7.5;13.32
64;2024-01-01 16:15:00;7.5;13.32
65;2024-01-01 16:30:00;7.5;13.32
66;2024-01-01 16:45:00;7.5;13.32
67;2024-01-01 17:00:00;7.5;13.32
68;2024-01-01 17:15:00;7.5;13.32
69;2024-01-01 17:30:00;7.5;13.32
70;2024-01-01 17:45:00;7.5;13.32
71;2024-01-01 18:00:00;7.5;13.32
72;2024-01-01 18:15:00;7.5;13.32
73;2024-01-01 18:30:00;7.5;13.32
74;2024-01-01 18:45:00;7.5;13.32
75;2024-01-01 19:00:00;7.5;13.32
76;2024-01-01 19:15:00;7.5;13.32
77;2024-01-01 19:30:00;7.5;13.32
78;2024-01-01 19:45:00;7.5;13.32
79;2024-01-01 20:00:00;7.5;13.32
80;2024-01-01 20:15:00;7.5;13.32
81;2024-01-01 20:30:00;7.5;13.32
82;2024-01-01 20:45:00;7.5;13.32
83;2024-01-01 21:00:00;7.5;13.32
84;2024-01-01 21:15:00;7.5;13.32
85;2024-01-01 21:30:00;7.5;13.32
86;2024-01-01 21:45:00;7.5;13.32
87;2024-01-01 22:00:00;7.5;13.32
88;2024-01-01 22:15:00;7.5;13.32
89;2024-01-01 22:30:00;7.5;13.32
90;2024-01-01 22:45:00;7.5;13.32
91;2024-01-01 23:00:00;7.5;13.32
92;2024-01-01 23:15:00;7.5;13.32
93;2024-01-01 23:30:00;7.5;13.32
94;2024-01-01 23:45:00;7.5;13.32
95;2024-01-02 00:00:00;7.5;13.32
96;2024-01-02 00:15:00;7.5;13.32
97;2024-01-02 00:30:00;7.5;13.32
98;2024-01-02 00:45:00;7.5;13.32
99;2024-01-02 01:00:00;7.5;13.32
100;2024-01-02 01:15:00;7.5;13.32
101;2024-01-02 01:30:00;7.5;13.32
102;2024-01-02 01:45:00;7.5;13.32
103;2024-01-02 02:00:00;7.5;13.32
104;2024-01-02 02:15:00;7.5;13.32
105;2024-01-02 02:30:00;7.5;13.32
106;2024-01-02 02:45:00;7.5;13.32
107;2024-01-02 03:00:00;7.5;13.32
108;2024-01-02 03:15:00;7.5;13.32
109;2024-01-02 03:30:00;7.5;13.32
110;2024-01-02 03:45:00;7.5;13.32
111;2024-01-02 04:00:00;7.5;13.32
112;2024-01-02 04:15:00;7.5;13.32
113;2024-01-02 04:30:00;7.5;13.32
114;2024-01-02 04:45:00;7.5;13.32
115;2024-01-02 05:00:00;7.5;13.32
116;2024-01-02 05:15:00;7.5;13.32
117;2024-01-02 05:30:00;7.5;13.32
118;2024-01-02 05:45:00;7.5;13.32
119;2024-01-02 06:00:00;7.5;13.32
120;2024-01-02 06:15:00;7.5;13.32
121;2024-01-02 06:30:00;7.5;13.32
122;2024-01-02 06:45:00;7.5;13.32
123;2024-01-02 07:00:00;7.5;13.32
124;2024-01-02 07:15:00;7.5;13.32
125;2024-01-02 07:30:00;7.5;13.32
126;2024-01-02 07:45:00;7.5;13.32
