nv;Datetime;bystar1_P;bystar1_Q;bystar1_Ep;bystar1_Eq
0;2024-01-01 00:15:00;0;0.013053595;0;0
1;2024-01-01 00:30:00;0;0.012908802;5.88496E-07;0.0032453
2;2024-01-01 00:45:00;0;0.013036127;2.57195E-06;0.003243116
3;2024-01-01 01:00:00;0;0.013185898;6.2773E-06;0.003277753
4;2024-01-01 01:15:00;0;0.013161338;1.20315E-05;0.003293405
5;2024-01-01 01:30:00;0;0.013311827;0;0.003309146
6;2024-01-01 01:45:00;0;0.012983752;0;0.003286947
7;2024-01-01 02:00:00;0;0.0133397;0;0.003290432
8;2024-01-01 02:15:00;0;0.012892808;0;0.003279064
9;2024-01-01 02:30:00;0;-0.084903438;0;-0.001186675
10;2024-01-01 02:45:00;0;0.01310789;0;-0.007774215
11;2024-01-01 03:00:00;0;0.013687743;0;0.003349454
12;2024-01-01 03:15:00;0;0.012979279;0;0.003333378
13;2024-01-01 03:30:00;0;0.013129538;0;0.003263602
14;2024-01-01 03:45:00;0;0.013062577;0;0.003274014
15;2024-01-01 04:00:00;0;0.013141036;0;0.003275452
16;2024-01-01 04:15:00;0;0.012757196;0;0.003237279
17;2024-01-01 04:30:00;0;0.012836428;0;0.003199203
18;2024-01-01 04:45:00;0;0.013001869;0;0.003229787
19;2024-01-01 05:00:00;0;0.013406579;0;0.003301056
20;2024-01-01 05:15:00;0;0.012897157;0;0.003287967
21;2024-01-01 05:30:00;0;0.013081109;0;0.003247283
22;2024-01-01 05:45:00;0;0.013041944;0;0.003265382
23;2024-01-01 06:00:00;0;0.01328805;0;0.003291249
24;2024-01-01 06:15:00;0;0.01245749;0;0.003218192
25;2024-01-01 06:30:00;0;0.012883168;0;0.003167582
26;2024-01-01 06:45:00;0;0.012953158;0;0.003229541
27;2024-01-01 07:00:00;0;0.012741676;0;0.003211854
28;2024-01-01 07:15:00;0;0.012983278;0;0.003215619
29;2024-01-01 07:30:00;0;0.013139521;0;0.00326535
30;2024-01-01 07:45:00;0;0.013250573;0;0.003298762
31;2024-01-01 08:00:00;0;0.013130629;0;0.00329765
32;2024-01-01 08:15:00;0;0.012914048;0;0.003255585
33;2024-01-01 08:30:00;0;0.013281408;0;0.003274432
34;2024-01-01 08:45:00;0;0.013225322;0;0.003313341
35;2024-01-01 09:00:00;0;0.013222433;0;0.003305969
36;2024-01-01 09:15:00;0;0.012899146;0;0.003265197
37;2024-01-01 09:30:00;0;0.013139971;0;0.00325489
38;2024-01-01 09:45:00;0;0.013322246;0;0.003307777
39;2024-01-01 10:00:00;0;0.013218686;0;0.003317617
40;2024-01-01 10:15:00;0;0.012375296;0;0.003199248
41;2024-01-01 10:30:00;0;0.013021001;0;0.003174537
42;2024-01-01 10:45:00;0;0.012961472;0;0.003247809
43;2024-01-01 11:00:00;0;0.013234411;0;0.003274485
44;2024-01-01 11:15:00;0;0.013315541;0;0.003318744
45;2024-01-01 11:30:00;0;0.012815728;0;0.003266409
46;2024-01-01 11:45:00;0;0.012947586;0;0.003220414
47;2024-01-01 12:00:00;0;0.013539307;0;0.003310862
48;2024-01-01 12:15:00;0;0.012674454;0;0.00327672
49;2024-01-01 12:30:00;0;0.013234852;0;0.003238663
50;2024-01-01 12:45:00;0;0.01314768;0;0.003297817
51;2024-01-01 13:00:00;0;0.013056518;0;0.003275525
52;2024-01-01 13:15:00;0;0.012724817;0;0.003222667
53;2024-01-01 13:30:00;0;0.013323638;0;0.003256057
54;2024-01-01 13:45:00;0;0.013132587;0;0.003307028
55;2024-01-01 14:00:00;0;0.013097035;0;0.003278703
56;2024-01-01 14:15:00;0;0.012957342;0;0.003256797
57;2024-01-01 14:30:00;0;0.013325179;0;0.003285315
58;2024-01-01 14:45:00;0;0.013250252;0;0.003321929
59;2024-01-01 15:00:00;0;0.012579575;0;0.003228728
60;2024-01-01 15:15:00;0;0.013145321;0;0.003215612
61;2024-01-01 15:30:00;0;0.01285001;0;0.003249416
62;2024-01-01 15:45:00;0;0.012958247;0;0.003226032
63;2024-01-01 16:00:00;0;0.0128173;0;0.003221943
64;2024-01-01 16:15:00;0;0.012977505;0;0.003224351
65;2024-01-01 16:30:00;0;0.012810344;0;0.003223481
66;2024-01-01 16:45:00;0;0.013049162;0;0.003232438
67;2024-01-01 17:00:00;0;0.013064329;0;0.003264186
68;2024-01-01 17:15:00;0;0.013232357;0;0.003287086
69;2024-01-01 17:30:00;0;0.012964468;0;0.003274603
70;2024-01-01 17:45:00;0;0.013074441;0;0.003254864
71;2024-01-01 18:00:00;0;0.012456802;0;0.003191405
72;2024-01-01 18:15:00;0;0.012769028;0;0.003153229
73;2024-01-01 18:30:00;0;0.012651727;0;0.003177594
74;2024-01-01 18:45:00;0;-0.083075716;0;-0.00116344
75;2024-01-01 19:00:00;0;0.013080768;0;-0.007559137
76;2024-01-01 19:15:00;0;0.012832651;0;0.003239177
77;2024-01-01 19:30:00;0;0.01289524;0;0.003215986
78;2024-01-01 19:45:00;0;0.012884887;0;0.003222516
79;2024-01-01 20:00:00;0;0.013139891;0;0.003253097
80;2024-01-01 20:15:00;0;0.012734121;0;0.003234251
81;2024-01-01 20:30:00;0;0.013250638;0;0.003248095
82;2024-01-01 20:45:00;0;0.012655142;0;0.003238222
83;2024-01-01 21:00:00;0;0.013000479;0;0.003206953
84;2024-01-01 21:15:00;0;0.012774094;0;0.003221822
85;2024-01-01 21:30:00;0;0.01290331;0;0.003209675
86;2024-01-01 21:45:00;0;0.012958624;0;0.003232742
87;2024-01-01 22:00:00;0;0.013007868;0;0.003245811
88;2024-01-01 22:15:00;0;0.013064915;0;0.003259098
89;2024-01-01 22:30:00;0;0.013228573;0;0.003286686
90;2024-01-01 22:45:00;0;0.013086914;0;0.003289436
91;2024-01-01 23:00:00;0;0.013135906;0;0.003277852
92;2024-01-01 23:15:00;0;0.01325416;0;0.003298758
93;2024-01-01 23:30:00;0;0.01310498;0;0.003294893
94;2024-01-01 23:45:00;0;0.013137232;0;0.003280277
95;2024-01-02 00:00:00;0;0.013512323;0;0.003331194
96;2024-01-02 00:15:00;0;0.013305074;0;0.003352175
97;2024-01-02 00:30:00;0;0.013225095;0;0.003316271
98;2024-01-02 00:45:00;0;0.013130455;0;0.003294444
99;2024-01-02 01:00:00;0;0.013393254;0;0.003315464
100;2024-01-02 01:15:00;0;0.013281544;0;0.00333435
101;2024-01-02 01:30:00;0;0.013010718;0;0.003286533
102;2024-01-02 01:45:00;0;0.013332693;0;0.003292926
103;2024-01-02 02:00:00;0;0.013079412;0;0.003301513
104;2024-01-02 02:15:00;0;0.012987943;0;0.003258419
105;2024-01-02 02:30:00;0;0.01324797;0;0.003279489
106;2024-01-02 02:45:00;0;0.013216137;0;0.003308013
107;2024-01-02 03:00:00;0;0.012799689;0;0.003251978
108;2024-01-02 03:15:00;0;0.012909416;0;0.003213638
109;2024-01-02 03:30:00;0;0.0129068;0;0.003227027
110;2024-01-02 03:45:00;0;0.013106132;0;0.003251616
111;2024-01-02 04:00:00;0;0.012931668;0;0.003254725
