nv;Datetime;pv_P;pv_Q;pv_Ep;pv_Eq
0;2024-01-01 00:15:00;0.057734925;0;0;0
1;2024-01-01 00:30:00;0.057726223;0;0.014432643;0
2;2024-01-01 00:45:00;0.057259535;0;0.01437322;0
3;2024-01-01 01:00:00;0.057608609;0;0.014358518;0
4;2024-01-01 01:15:00;0.057353862;0;0.014370309;0
5;2024-01-01 01:30:00;0.057236052;0;0.014323739;0
6;2024-01-01 01:45:00;0.057403097;0;0.014329894;0
7;2024-01-01 02:00:00;0.057191376;0;0.014324309;0
8;2024-01-01 02:15:00;0.057462338;0;0.014331714;0
9;2024-01-01 02:30:00;0.057420952;0;0.014360411;0
10;2024-01-01 02:45:00;0.057298185;0;0.014339892;0
11;2024-01-01 03:00:00;0.05732185;0;0.014327504;0
12;2024-01-01 03:15:00;0.057183776;0;0.014313203;0
13;2024-01-01 03:30:00;0.057064074;0;0.014280981;0
14;2024-01-01 03:45:00;0.057129852;0;0.014274241;0
15;2024-01-01 04:00:00;0.05678383;0;0.01423921;0
16;2024-01-01 04:15:00;0.056841038;0;0.014203108;0
17;2024-01-01 04:30:00;0.056834238;0;0.014209409;0
18;2024-01-01 04:45:00;0.056923355;0;0.014219699;0
19;2024-01-01 05:00:00;0.056635382;0;0.014194842;0
20;2024-01-01 05:15:00;0.056575894;0;0.01415141;0
21;2024-01-01 05:30:00;0.056484601;0;0.014132562;0
22;2024-01-01 05:45:00;0.056349775;0;0.014104297;0
23;2024-01-01 06:00:00;0.056066796;0;0.014052071;0
24;2024-01-01 06:15:00;0.05589471;0;0.013995188;0
25;2024-01-01 06:30:00;0.05580092;0;0.013961954;0
26;2024-01-01 06:45:00;0.056083348;0;0.013985534;0
27;2024-01-01 07:00:00;0.05617866;0;0.014032751;0
28;2024-01-01 07:15:00;0.055968356;0;0.014018377;0
29;2024-01-01 07:30:00;0.056309263;0;0.014034702;0
30;2024-01-01 07:45:00;0.056556249;0;0.014108189;0
31;2024-01-01 08:00:00;0.056594978;0;0.014143903;0
32;2024-01-01 08:15:00;-0.003070822;0;0.006346178;0
33;2024-01-01 08:30:00;-0.540543578;0;-0.0679518;0
34;2024-01-01 08:45:00;-1.695716366;0;-0.279532493;0
35;2024-01-01 09:00:00;-3.722505907;0;-0.677277784;0
36;2024-01-01 09:15:00;-5.207453583;0;-1.116244936;0
37;2024-01-01 09:30:00;-6.797419821;0;-1.500609176;0
38;2024-01-01 09:45:00;-8.380311848;0;-1.897216459;0
39;2024-01-01 10:00:00;-7.968332189;0;-2.043580505;0
40;2024-01-01 10:15:00;-6.834932205;0;-1.850408049;0
41;2024-01-01 10:30:00;-5.925877228;0;-1.595101179;0
42;2024-01-01 10:45:00;-5.586311501;0;-1.439023591;0
43;2024-01-01 11:00:00;-5.684847708;0;-1.408894901;0
44;2024-01-01 11:15:00;-4.763954982;0;-1.306100336;0
45;2024-01-01 11:30:00;-4.41659794;0;-1.147569115;0
46;2024-01-01 11:45:00;-4.262462185;0;-1.084882516;0
47;2024-01-01 12:00:00;-3.842481099;0;-1.01311791;0
48;2024-01-01 12:15:00;-3.775227579;0;-0.952213585;0
49;2024-01-01 12:30:00;-4.027488828;0;-0.975339551;0
50;2024-01-01 12:45:00;-3.789505859;0;-0.977124336;0
51;2024-01-01 13:00:00;-4.100700636;0;-0.986275812;0
52;2024-01-01 13:15:00;-3.252971191;0;-0.919208978;0
53;2024-01-01 13:30:00;-2.851158608;0;-0.763016225;0
54;2024-01-01 13:45:00;-2.273310897;0;-0.640558688;0
55;2024-01-01 14:00:00;-1.655411351;0;-0.491090281;0
56;2024-01-01 14:15:00;-1.417268563;0;-0.384084989;0
57;2024-01-01 14:30:00;-1.205584516;0;-0.327856635;0
58;2024-01-01 14:45:00;-0.80923905;0;-0.251852946;0
59;2024-01-01 15:00:00;-0.186440427;0;-0.124459935;0
60;2024-01-01 15:15:00;0.059372513;0;-0.012047065;0
61;2024-01-01 15:30:00;0.057059017;0;0.014553941;0
62;2024-01-01 15:45:00;0.057078718;0;0.014267217;0
63;2024-01-01 16:00:00;0.056562406;0;0.01420514;0
64;2024-01-01 16:15:00;0.056634689;0;0.014149637;0
65;2024-01-01 16:30:00;0.056652399;0;0.014160886;0
66;2024-01-01 16:45:00;0.056770908;0;0.014177913;0
67;2024-01-01 17:00:00;0.056665224;0;0.014179516;0
68;2024-01-01 17:15:00;0.056628281;0;0.014161688;0
69;2024-01-01 17:30:00;0.056744013;0;0.014171537;0
70;2024-01-01 17:45:00;0.056833388;0;0.014197175;0
71;2024-01-01 18:00:00;0.057052079;0;0.014235683;0
72;2024-01-01 18:15:00;0.056805752;0;0.014232229;0
73;2024-01-01 18:30:00;0.056808983;0;0.014201842;0
74;2024-01-01 18:45:00;0.0570367;0;0.01423071;0
75;2024-01-01 19:00:00;0.057017567;0;0.014256783;0
76;2024-01-01 19:15:00;0.057073477;0;0.01426138;0
77;2024-01-01 19:30:00;0.057184983;0;0.014282307;0
78;2024-01-01 19:45:00;0.057306813;0;0.014311474;0
79;2024-01-01 20:00:00;0.057539959;0;0.014355846;0
80;2024-01-01 20:15:00;0.057604595;0;0.014393069;0
81;2024-01-01 20:30:00;0.058170125;0;0.01447184;0
82;2024-01-01 20:45:00;0.058138329;0;0.014538557;0
83;2024-01-01 21:00:00;0.058315176;0;0.014556688;0
84;2024-01-01 21:15:00;0.05734324;0;0.014457302;0
85;2024-01-01 21:30:00;0.05719761;0;0.014317606;0
86;2024-01-01 21:45:00;0.057145453;0;0.014292883;0
87;2024-01-01 22:00:00;0.057079462;0;0.014278114;0
88;2024-01-01 22:15:00;0.057142032;0;0.014277687;0
89;2024-01-01 22:30:00;0.057275025;0;0.014302132;0
90;2024-01-01 22:45:00;0.057124513;0;0.014299942;0
91;2024-01-01 23:00:00;0.057024196;0;0.014268589;0
92;2024-01-01 23:15:00;0.056998959;0;0.014252894;0
93;2024-01-01 23:30:00;0.057194489;0;0.014274181;0
94;2024-01-01 23:45:00;0.057221933;0;0.014302053;0
95;2024-01-02 00:00:00;0.057037977;0;0.014282489;0
96;2024-01-02 00:15:00;0.057006843;0;0.014255602;0
97;2024-01-02 00:30:00;0.057608801;0;0.014326955;0
98;2024-01-02 00:45:00;0.05736451;0;0.014371664;0
99;2024-01-02 01:00:00;0.057454306;0;0.014352352;0
100;2024-01-02 01:15:00;0.05770363;0;0.014394742;0
101;2024-01-02 01:30:00;0.057336176;0;0.014379976;0
102;2024-01-02 01:45:00;0.057366618;0;0.014337849;0
103;2024-01-02 02:00:00;0.057633684;0;0.014375038;0
104;2024-01-02 02:15:00;0.05759163;0;0.014403164;0
105;2024-01-02 02:30:00;0.057401461;0;0.014374136;0
106;2024-01-02 02:45:00;0.057628862;0;0.01437879;0
107;2024-01-02 03:00:00;0.057553673;0;0.014397817;0
108;2024-01-02 03:15:00;0.057169921;0;0.014340449;0
109;2024-01-02 03:30:00;0.057418436;0;0.014323545;0
110;2024-01-02 03:45:00;0.057577001;0;0.01437443;0
111;2024-01-02 04:00:00;0.057071441;0;0.014331055;0
112;2024-01-02 04:15:00;0.057235914;0;0.014288419;0
113;2024-01-02 04:30:00;0.057335696;0;0.014321451;0
114;2024-01-02 04:45:00;0.057277603;0;0.014326662;0
115;2024-01-02 05:00:00;0.056954531;0;0.014279017;0
116;2024-01-02 05:15:00;0.057136423;0;0.014261369;0
117;2024-01-02 05:30:00;0.056993329;0;0.014266219;0
118;2024-01-02 05:45:00;0.056471416;0;0.014183093;0
119;2024-01-02 06:00:00;0.056578743;0;0.01413127;0
120;2024-01-02 06:15:00;0.056453653;0;0.014129049;0
121;2024-01-02 06:30:00;0.057980265;0;0.01430424;0
122;2024-01-02 06:45:00;0.059656665;0;0.014704616;0
123;2024-01-02 07:00:00;0.060201718;0;0.014982298;0
124;2024-01-02 07:15:00;0.058813982;0;0.014876963;0
125;2024-01-02 07:30:00;0.05825717;0;0.014633894;0
126;2024-01-02 07:45:00;0.059357272;0;0.014701805;0
127;2024-01-02 08:00:00;0.058864027;0;0.014777662;0
128;2024-01-02 08:15:00;0.058346158;0;0.014651273;0
129;2024-01-02 08:30:00;0.059436707;0;0.014722858;0
130;2024-01-02 08:45:00;0.057662893;0;0.01463745;0
131;2024-01-02 09:00:00;0.057227177;0;0.014361259;0
132;2024-01-02 09:15:00;0.060688502;0;0.01473946;0
133;2024-01-02 09:30:00;0.062472228;0;0.015395091;0
134;2024-01-02 09:45:00;0.060818551;0;0.015411347;0
135;2024-01-02 10:00:00;0.064508905;0;0.015665932;0
136;2024-01-02 10:15:00;0.064396372;0;0.01611316;0
137;2024-01-02 10:30:00;0.061225104;0;0.015702685;0
138;2024-01-02 10:45:00;0.056314971;0;0.014692509;0
139;2024-01-02 11:00:00;0.065965779;0;0.015285094;0
140;2024-01-02 11:15:00;0.062776656;0;0.016092804;0
141;2024-01-02 11:30:00;0.064816737;0;0.015949174;0
142;2024-01-02 11:45:00;0.065089756;0;0.016238312;0
143;2024-01-02 12:00:00;0.064857374;0;0.016243391;0
144;2024-01-02 12:15:00;0.053738076;0;0.014824431;0
145;2024-01-02 12:30:00;0.066497796;0;0.015029484;0
146;2024-01-02 12:45:00;0.058745022;0;0.015655352;0
147;2024-01-02 13:00:00;0.060853134;0;0.01494977;0
148;2024-01-02 13:15:00;0.058118187;0;0.014871415;0
149;2024-01-02 13:30:00;0.059326725;0;0.014680614;0
150;2024-01-02 13:45:00;0.058849775;0;0.014772062;0
151;2024-01-02 14:00:00;0.059065404;0;0.014739397;0
152;2024-01-02 14:15:00;0.05861442;0;0.014709978;0
153;2024-01-02 14:30:00;0.059716612;0;0.014791379;0
154;2024-01-02 14:45:00;0.059681365;0;0.014924747;0
155;2024-01-02 15:00:00;0.059990766;0;0.014959016;0
