nv;Datetime;sg1_P;sg1_Q;sg1_Ep;sg1_Eq
0;2024-01-01 00:15:00;7.129474958;0;0;0
1;2024-01-01 00:30:00;6.456810132;0;1.698285636;0
2;2024-01-01 00:45:00;5.537968421;0;1.499347319;0
3;2024-01-01 01:00:00;5.447631027;0;1.373199931;0
4;2024-01-01 01:15:00;5.543981505;0;1.373951566;0
5;2024-01-01 01:30:00;5.575548081;0;1.389941198;0
6;2024-01-01 01:45:00;6.077613011;0;1.456645136;0
7;2024-01-01 02:00:00;5.529153476;0;1.450845811;0
8;2024-01-01 02:15:00;5.689865905;0;1.402377423;0
9;2024-01-01 02:30:00;5.846764436;0;1.442078793;0
10;2024-01-01 02:45:00;5.769152845;0;1.45198966;0
11;2024-01-01 03:00:00;5.743268109;0;1.439052619;0
12;2024-01-01 03:15:00;5.753407832;0;1.437084493;0
13;2024-01-01 03:30:00;5.683923112;0;1.429666368;0
14;2024-01-01 03:45:00;5.610275076;0;1.411774773;0
15;2024-01-01 04:00:00;5.740946432;0;1.418902688;0
16;2024-01-01 04:15:00;5.997266914;0;1.467276668;0
17;2024-01-01 04:30:00;5.708667643;0;1.46324182;0
18;2024-01-01 04:45:00;5.9602251;0;1.458611593;0
19;2024-01-01 05:00:00;6.054946064;0;1.501896395;0
20;2024-01-01 05:15:00;6.031268473;0;1.510776817;0
21;2024-01-01 05:30:00;5.702606651;0;1.466734391;0
22;2024-01-01 05:45:00;9.664796612;0;1.920925408;0
23;2024-01-01 06:00:00;10.6037518;0;2.533568552;0
24;2024-01-01 06:15:00;10.20586289;0;2.601201837;0
25;2024-01-01 06:30:00;10.16683906;0;2.546587744;0
26;2024-01-01 06:45:00;10.56104531;0;2.590985547;0
27;2024-01-01 07:00:00;10.45076184;0;2.626475894;0
28;2024-01-01 07:15:00;10.31350861;0;2.595533806;0
29;2024-01-01 07:30:00;10.35986701;0;2.584171953;0
30;2024-01-01 07:45:00;10.0555798;0;2.551930851;0
31;2024-01-01 08:00:00;8.901716725;0;2.369662065;0
32;2024-01-01 08:15:00;7.937492108;0;2.104901104;0
33;2024-01-01 08:30:00;7.883163136;0;1.977581906;0
34;2024-01-01 08:45:00;7.756018826;0;1.954897745;0
35;2024-01-01 09:00:00;7.814923683;0;1.946367814;0
36;2024-01-01 09:15:00;7.916327718;0;1.966406425;0
37;2024-01-01 09:30:00;7.809848201;0;1.96577199;0
38;2024-01-01 09:45:00;7.83586463;0;1.955714104;0
39;2024-01-01 10:00:00;7.723298432;0;1.944895383;0
40;2024-01-01 10:15:00;7.709307506;0;1.929075742;0
41;2024-01-01 10:30:00;7.716673481;0;1.928247623;0
42;2024-01-01 10:45:00;7.736597517;0;1.931658875;0
43;2024-01-01 11:00:00;7.601893923;0;1.91731143;0
44;2024-01-01 11:15:00;7.761317355;0;1.92040141;0
45;2024-01-01 11:30:00;7.675456202;0;1.929596695;0
46;2024-01-01 11:45:00;7.641952424;0;1.914676078;0
47;2024-01-01 12:00:00;8.139955419;0;1.97273848;0
48;2024-01-01 12:15:00;7.702181725;0;1.980267143;0
49;2024-01-01 12:30:00;7.704030848;0;1.925776572;0
50;2024-01-01 12:45:00;7.868728863;0;1.946594964;0
51;2024-01-01 13:00:00;7.420889378;0;1.91120228;0
52;2024-01-01 13:15:00;7.520333622;0;1.867652875;0
53;2024-01-01 13:30:00;7.814932957;0;1.916908322;0
54;2024-01-01 13:45:00;7.680495182;0;1.936928517;0
55;2024-01-01 14:00:00;7.59785231;0;1.909793437;0
56;2024-01-01 14:15:00;7.74667509;0;1.918065925;0
57;2024-01-01 14:30:00;7.565464518;0;1.914017451;0
58;2024-01-01 14:45:00;7.859562582;0;1.928128388;0
59;2024-01-01 15:00:00;7.816317939;0;1.959485065;0
60;2024-01-01 15:15:00;7.802855754;0;1.952396712;0
61;2024-01-01 15:30:00;7.825306882;0;1.953520329;0
62;2024-01-01 15:45:00;7.853788531;0;1.959886927;0
63;2024-01-01 16:00:00;7.648000953;0;1.937723686;0
64;2024-01-01 16:15:00;7.689143985;0;1.917143117;0
65;2024-01-01 16:30:00;7.677279328;0;1.920802914;0
66;2024-01-01 16:45:00;7.5663408;0;1.905452516;0
67;2024-01-01 17:00:00;7.597985845;0;1.895540831;0
68;2024-01-01 17:15:00;7.989415458;0;1.948425163;0
69;2024-01-01 17:30:00;7.561145504;0;1.94382012;0
70;2024-01-01 17:45:00;8.136798269;0;1.962242972;0
71;2024-01-01 18:00:00;8.430899336;0;2.070962201;0
72;2024-01-01 18:15:00;8.514419352;0;2.118164836;0
73;2024-01-01 18:30:00;8.592233294;0;2.138331581;0
74;2024-01-01 18:45:00;8.77404259;0;2.170784485;0
75;2024-01-01 19:00:00;8.743659512;0;2.189712763;0
76;2024-01-01 19:15:00;8.688515144;0;2.179021832;0
77;2024-01-01 19:30:00;8.653682934;0;2.16777476;0
78;2024-01-01 19:45:00;8.655419668;0;2.163637825;0
79;2024-01-01 20:00:00;8.627577975;0;2.160374705;0
80;2024-01-01 20:15:00;7.339020188;0;1.99582477;0
81;2024-01-01 20:30:00;6.903221505;0;1.780280212;0
82;2024-01-01 20:45:00;6.889508221;0;1.724091216;0
83;2024-01-01 21:00:00;6.439143588;0;1.666081476;0
84;2024-01-01 21:15:00;5.382711764;0;1.477731919;0
85;2024-01-01 21:30:00;5.51310012;0;1.361976486;0
86;2024-01-01 21:45:00;5.549511337;0;1.382826432;0
87;2024-01-01 22:00:00;5.55076583;0;1.387534646;0
88;2024-01-01 22:15:00;6.04374323;0;1.449313633;0
89;2024-01-01 22:30:00;5.809292852;0;1.48162951;0
90;2024-01-01 22:45:00;5.745803035;0;1.444386986;0
91;2024-01-01 23:00:00;5.701121384;0;1.430865552;0
92;2024-01-01 23:15:00;5.824766047;0;1.440735929;0
